NAME      ,NATIONAL,KANTO,JOHTO,HOENN,TYPE 1  ,TYPE 2  ,SPECIES NAME        ,HEIGHT,WEIGHT,ABILITY 1    ,ABILITY 2    ,HIDDEN ABILITY,HP,ATK,DEF,SPATK,SPDEF,SPEED,CATCH,FRIENDLY,EXP GIVEN,GROWTH,EGG 1        ,EGG 2     ,GENDER,EGG CYCLES,BABY,HP ,ATK,DEF,SPATK,SPDEF,SPEED,TOTAL,BODY              ,COLOR ,DESCRIPTION,FEMALE SPRITE
Bulbasaur ,1       ,1    ,226  ,     ,Grass   ,Poison  ,Seed Pokémon        ,0.70  ,6.90  ,Overgrow     ,             ,Chlorophyll   ,0 ,0  ,0  ,1    ,0    ,0    ,45   ,70      ,64       ,MS    ,Monster      ,Plant     ,0.875 ,20        ,0   ,45 ,49 ,49 ,65   ,65   ,45   ,318  ,Quadruped         ,Green ,           ,FALSE
Ivysaur   ,2       ,2    ,227  ,     ,Grass   ,Poison  ,Seed Pokémon        ,1.00  ,13.00 ,Overgrow     ,             ,Chlorophyll   ,0 ,0  ,0  ,1    ,1    ,0    ,45   ,70      ,142      ,MS    ,Monster      ,Plant     ,0.875 ,20        ,0   ,60 ,62 ,63 ,80   ,80   ,60   ,405  ,Quadruped         ,Green ,           ,FALSE
Venusaur  ,3       ,3    ,228  ,     ,Grass   ,Poison  ,Seed Pokémon        ,2.00  ,100.00,Overgrow     ,             ,Chlorophyll   ,0 ,0  ,0  ,2    ,1    ,0    ,45   ,70      ,236      ,MS    ,Monster      ,Plant     ,0.875 ,20        ,0   ,80 ,82 ,83 ,100  ,100  ,80   ,525  ,Quadruped         ,Green ,           ,TRUE
Charmander,4       ,4    ,229  ,     ,Fire    ,        ,Lizard Pokémon      ,0.60  ,8.50  ,Blaze        ,             ,Solar Power   ,0 ,0  ,0  ,0    ,0    ,1    ,45   ,70      ,62       ,MS    ,Monster      ,Dragon    ,0.875 ,20        ,0   ,39 ,52 ,43 ,60   ,50   ,65   ,309  ,Androcaudal       ,Red   ,           ,FALSE
Charmeleon,5       ,5    ,230  ,     ,Fire    ,        ,Flame Pokémon       ,1.10  ,19.00 ,Blaze        ,             ,Solar Power   ,0 ,0  ,0  ,1    ,0    ,1    ,45   ,70      ,142      ,MS    ,Monster      ,Dragon    ,0.875 ,20        ,0   ,58 ,64 ,58 ,80   ,65   ,80   ,405  ,Androcaudal       ,Red   ,           ,FALSE
Charizard ,6       ,6    ,231  ,     ,Fire    ,Flying  ,Flame Pokémon       ,1.70  ,90.50 ,Blaze        ,             ,Solar Power   ,0 ,0  ,0  ,3    ,0    ,0    ,45   ,70      ,240      ,MS    ,Monster      ,Dragon    ,0.875 ,20        ,0   ,78 ,84 ,78 ,109  ,85   ,100  ,534  ,Androcaudal       ,Red   ,           ,FALSE
Squirtle  ,7       ,7    ,232  ,     ,Water   ,        ,Tiny Turtle Pokémon ,0.50  ,9.00  ,Torrent      ,             ,Rain Dish     ,0 ,0  ,1  ,0    ,0    ,0    ,45   ,70      ,63       ,MS    ,Monster      ,Water1    ,0.875 ,20        ,0   ,44 ,48 ,65 ,50   ,64   ,43   ,314  ,Androcaudal       ,Blue  ,           ,FALSE
Wartortle ,8       ,8    ,233  ,     ,Water   ,        ,Turtle Pokémon      ,1.00  ,22.50 ,Torrent      ,             ,Rain Dish     ,0 ,0  ,1  ,0    ,1    ,0    ,45   ,70      ,142      ,MS    ,Monster      ,Water1    ,0.875 ,20        ,0   ,59 ,63 ,80 ,65   ,80   ,58   ,405  ,Androcaudal       ,Blue  ,           ,FALSE
Blastoise ,9       ,9    ,234  ,     ,Water   ,        ,Shellfish Pokémon   ,1.60  ,85.50 ,Torrent      ,             ,Rain Dish     ,0 ,0  ,0  ,0    ,3    ,0    ,45   ,70      ,239      ,MS    ,Monster      ,Water1    ,0.875 ,20        ,0   ,79 ,83 ,100,85   ,105  ,78   ,530  ,Androcaudal       ,Blue  ,           ,FALSE
Caterpie  ,10      ,10   ,24   ,     ,Bug     ,        ,Worm Pokémon        ,0.30  ,2.90  ,Shield Dust  ,             ,Run Away      ,1 ,0  ,0  ,0    ,0    ,0    ,255  ,70      ,39       ,MF    ,Bug          ,          ,0.5   ,10        ,0   ,45 ,30 ,35 ,20   ,20   ,45   ,195  ,Serpentine        ,Green ,           ,FALSE
