GAME_ID,REAL_ID,INTERNAL NAME ,NAME          ,GENERATION,TYPE    ,CATEGORY,CONTEST  ,PP,POWER,ACCURACY,TARGET      ,PRIORITY,FLAGS      ,PRIMARY FUNCTION,FLAVOR TEXT                     ,EFFECT 1   ,VAL 1,EFFECT 2,VAL 2,CHANCE,EFFECT TARGET,EFFECT DESCRIPTION                                                                                                                           ,MOVE DESCRIPTION
6      ,       ,PAY_DAY       ,Pay Day       ,I         ,Normal  ,Physical,Clever   ,20,40   ,100%    ,ANY_ADJ     ,0       ,b e f      ,payday          ,                                ,           ,     ,        ,     ,      ,             ,A small amount of money is gained after the battle resolves.                                                                                 ,
12     ,       ,GUILLOTINE    ,Guillotine    ,I         ,Normal  ,Physical,Cool     ,5 ,—    ,30%     ,ANY_ADJ     ,0       ,a b e      ,ohko            ,                                ,           ,     ,        ,     ,      ,             ,"One-Hit-KO, if it hits."                                                                                                                    ,
13     ,       ,RAZOR_WIND    ,Razor Wind    ,I         ,Normal  ,Special ,Cool     ,10,80   ,100%    ,ALL_ADJ_FOE ,0       ,b e f      ,prime           ,whipped up a whirlwind!         ,           ,     ,        ,     ,      ,             ,"Charges on first turn, attacks on second. High critical hit ratio."                                                                         ,
18     ,       ,WHIRLWIND     ,Whirlwind     ,I         ,Normal  ,Status  ,Clever   ,20,—    ,—       ,ANY_ADJ     ,-6      ,b c e k    ,roar            ,                                ,           ,     ,        ,     ,      ,             ,"In battles, the opponent switches. In the wild, the Pokémon runs. Hits the opponent even when they're in the sky."                          ,
19     ,       ,FLY           ,Fly           ,I         ,Flying  ,Physical,Clever   ,15,90   ,95%     ,ANY         ,0       ,a b e f    ,prime           ,                                ,sinv       ,0    ,        ,     ,      ,             ,"Flies up on first turn, attacks on second turn."                                                                                            ,
258    ,       ,HAIL          ,Hail          ,III       ,Ice     ,Status  ,Beautiful,10,—    ,—       ,ALL         ,0       ,b          ,arena           ,                                ,hail       ,5    ,        ,     ,      ,             ,Non-Ice types are damaged for 5 turns.                                                                                                       ,
300    ,       ,MUD_SPORT     ,Mud Sport     ,III       ,Ground  ,Status  ,Cute     ,15,—    ,100%    ,ALL         ,0       ,           ,arena           ,                                ,mud        ,5    ,        ,     ,      ,             ,Weakens the power of Electric-type moves.                                                                                                    ,
240    ,       ,RAIN_DANCE    ,Rain Dance    ,II        ,Water   ,Status  ,Beautiful,5 ,—    ,—       ,ALL         ,0       ,           ,arena           ,                                ,rain       ,5    ,        ,     ,      ,             ,Makes it rain for 5 turns.                                                                                                                   ,
191    ,       ,SPIKES        ,Spikes        ,II        ,Ground  ,Status  ,Clever   ,20,—    ,—       ,ALL_FOE     ,0       ,c          ,arena           ,                                ,spikes     ,0    ,        ,     ,      ,target       ,Hurts opponents when they switch into battle.                                                                                                ,
241    ,       ,SUNNY_DAY     ,Sunny Day     ,II        ,Fire    ,Status  ,Beautiful,5 ,—    ,—       ,ALL         ,0       ,           ,arena           ,                                ,sun        ,5    ,        ,     ,      ,             ,Makes it sunny for 5 turns.                                                                                                                  ,
